company;isin;index;drop;too_late;too_early;sector;supersektor;publication_date;fy_end;is_tax_in_ar;only_perc;elig_rev_abs;elig_capex_abs;elig_opex_abs;elig_rev_perc;elig_capex_perc;elig_opex_perc;alig_rev_abs;alig_capex_abs;alig_opex_abs;alig_rev_perc;alig_capex_perc;alig_opex_perc;rev_total;capex_total;opex_total;no_pages
ProSiebenSat.1 Media;DE000PSM7770;MDAX;;;;Media;Consumer Services;03.03.2022;31.12.;yes;no;0;98;28;0;8;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;4494;1234;n.a.;2
Rational;DE0007010803;MDAX;x;;;Industrial;Industrials;24.03.2022;31.12.;no;yes;0;ins;ins;0;ins;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;780;26;273;n.a.
Rheinmetall;DE0007030009;MDAX;;;;Industrial;Industrials;17.03.2022;31.12.;yes;yes;28;n.a.;n.a.;0,5;5,5;12,7;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5658;n.a.;n.a.;2,5
Scout24;DE000A12DM80;MDAX;;;;Media;Consumer Services;24.03.2022;31.12.;no;yes;0;0;0;0;7,1;0;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;389;n.a.;n.a.;3
Siemens Energy;DE000ENER6Y0;MDAX;x;;x;Industrial;Industrials;07.12.2021;30.09.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Siltronic;DE000WAF3001;MDAX;;;;Technology;Information Technology;09.03.2022;31.12.;yes;yes;0;ins;ins;0;ins;ins;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;1405;n.a.;n.a.;0,5
Software AG;DE000A2GS401;MDAX;;;;Software;Information Technology;23.03.2022;31.12.;yes;yes;0;n.a.;n.a.;0;43,6;2,6;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;684;n.a.;n.a.;1
Ströer;DE0007493991;MDAX;;;;Media;Consumer Services;30.03.2022;31.12.;no;yes;0;0;0;0;0;0;0;0;0;0;0;0;1627;n.a.;n.a.;1,5
TAG Immobilien;DE0008303504;MDAX;x;;;Financial Services;FIRE;15.03.2022;31.12.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
Talanx;DE000TLX1005;MDAX;x;;;Insurance;FIRE;14.03.2022;31.12.;yes;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
TeamViewer;DE000A2YN900;MDAX;;;;Software;Information Technology;16.03.2022;31.12.;yes;no;426;41;32;85;85;79;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;501;48;39;1
Telefónica Deutschland;DE000A1J5RX9;MDAX;;;;Telecommunication;Telecommunication;02.03.2022;31.12.;no;no;3618;2078;148;47;79;52;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;7765;2613;285;3
ThyssenKrupp;DE0007500001;MDAX;x;;x;Industrial;Industrials;18.11.2021;30.09.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;34015;n.a.;n.a.;n.a.
Uniper;DE000UNSE018;MDAX;;;;Utilities;Utilities;23.02.2022;31.12.;yes;no;935;72;114;0,6;8,1;7,3;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;163979;891;1560;3,5
United Internet;DE0005089031;MDAX;;;;Telecommunication;Telecommunication;17.03.2022;31.12.;no;no;907;216;23;16,1;49,3;31;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;5646;438;75;n.a.
Vantage Towers;DE000A3H3LL2;MDAX;x;x;;Telecommunication;Telecommunication;16.05.2022;31.03.;no;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.;n.a.
